Spørgsmål,Kategori,Kompetencetype,Sværhedsgrad,Opgavetype,Medie,Tid
"Hvordan motiverer du en soldat, der savner sin kat midt under en øvelse?","Motivation","Empati / Kommunikation","Let","Multiple Choice","Tekst",1
"Hvad gør du, hvis din patrulje forvilder sig ind i en flok nysgerrige får?","Situationsfornemmelse","Beslutningstagning","Middel","Scenarieopgave","Billede",2
"Hvordan bruger man camouflage, hvis hele området er lyserødt?","Taktik","Kreativ Problemløsning","Svær","Essay","Tekst",3
"Hvornår er det strategisk klogt at afholde kagepause under en feltration?","Ledelse","Planlægning / Moral","Let","Multiple Choice","Tekst",1
"Hvordan samarbejder man bedst om at bygge en teltlejr i stormvejr – iført oppustelige sumodragter?","Teambuilding","Samarbejde / Koordination","Middel","Case","Video",3
"Hvor mange gulerødder skal du medbringe for at forhandle med en oprørsk kanin?","Forhandling","Kreativ tænkning","Let","Kort svar","Tekst",1
"Hvordan får du radiokommunikation til at virke, når nogen konstant citerer gamle westernfilm?","Kommunikation","Konflikthåndtering","Middel","Multiple Choice","Lyd",2
"Hvordan instruerer du korrekt i brugen af feltkompas, hvis ingen tror på nord længere?","Undervisning","Mentorrolle / Videnformidling","Svær","Essay","Tekst",4
"Hvornår er det mest hensigtsmæssigt at danse sig gennem en forhindringsbane?","Moral","Motivation / Kreativitet","Let","Multiple Choice","Video",1
"Hvordan sikrer man, at alle i gruppen tager opvasken seriøst efter feltration?","Ansvar","Motivation / Sociale spilleregler","Middel","Scenarieopgave","Valg",2
